feature_name,sample,index,feature_value,shap_effect,shap_effect_sd,intercept,lo,med,hi,mae
ALB,9,1,0.5283018867924529,-0.05981686018658072,0.12695981282111726,4.872829216186747,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,0.11436076265591828
EGFR,9,1,0.6461632155907432,-0.04179370336464608,0.0432272051791787,4.872829216186747,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.029766968061603696
AGE,10,1,0.2916368834882059,0.046607280000215356,0.11951436851841957,3.530022213458047,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.05603888135219333
WT,10,1,0.09204840103716502,-1.4609878758694057,1.5019368252986554,3.530022213458047,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,1.1140133083026782
ALB,10,1,0.5283018867924529,-0.4785419660196702,1.1632191642767389,3.530022213458047,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,1.0395414282642712
EGFR,10,1,0.6461632155907432,0.3700267802042155,0.43518604162879154,3.530022213458047,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.39731544236570054
AGE,11,1,0.2916368834882059,0.024521262153527713,0.08067512897980539,2.8612512156511656,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.0929959496767961
WT,11,1,0.09204840103716502,-0.6743471535624022,0.8101918704484847,2.8612512156511656,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,0.6336604076273423
ALB,11,1,0.5283018867924529,-0.1073495017136674,0.3366224150081353,2.8612512156511656,-0.5817998517290058,-0.23668833051643043,-0.017721628522373287,0.2627431878248625
EGFR,11,1,0.6461632155907432,4.999525102016289e-5,0.07609919807030414,2.8612512156511656,-0.5034627894902343,-0.06542482165431385,0.31702337879959885,0.030300986182153433
AGE,12,1,0.2916368834882059,-0.04905073783744225,0.19059281764779806,4.137338953604814,-0.1434807499999787,-0.013703424915425286,0.10951877104161173,0.10786497510306207
WT,12,1,0.09204840103716502,-0.38286845520293605,0.6018842170151544,4.137338953604814,-1.887029289620707,-0.9081599757237802,-0.03492690035629437,0.4277498017378665
